słowo:KOT, klucz: RYG = CNA
słowo:OKO, klucz: FJF = UUU
słowo:SOK, klucz: DYH = WNS
słowo:DOK, klucz: PCM = TRX
słowo:MYSZ, klucz: JDJG = WCCG
słowo:IGLO, klucz: PHMR = YOYG
słowo:STRONA, klucz: EKCFMT = XEUUAU
słowo:SLON, klucz: DJMK = WVBY
słowo:AGA, klucz: PBD = QIE
słowo:MUCHA, klucz: SDATY = FYDBZ
słowo:BEZWARUNKOWY, klucz: WLRT = YQRQXDMHHAOS
słowo:MIKROPROCESOR, klucz: EBMM = RKXETREBHGFBW
słowo:MAGNETYCZNY, klucz: JXTGF = WYAUKDWWGTI
słowo:KAROLINA, klucz: AVBK = LWTZMEPL
słowo:PODLOGA, klucz: WWSUZ = MLWGODX
słowo:SAKSOFON, klucz: NDLWKQ = GEWPZWCR
słowo:FRATKALE, klucz: ROYSG = XGZMRSAD
słowo:NANIESIONO, klucz: SYOGQ = GZCPVLHDUF
słowo:ELASTYCZNY, klucz: BRC = GDDULBERQA
słowo:MALGORZATA, klucz: NOS = APEUDKNPMO
słowo:PRZYCHODNIA, klucz: QUFDGB = GMFCJJFYTMH
słowo:PRZEMYSLAW, klucz: ZXPF = PPPKMWIRAU
słowo:AGNIESZKA, klucz: KYJO = LFXXPRJZL
słowo:UCZNIOWIE, klucz: TVYL = OYYZCKVUY
słowo:REKLAMA, klucz: FFBEM = XKMQNSG
słowo:WIOLONCZELA, klucz: QQDH = NZSTFEGHVCE
słowo:DRUKARKA, klucz: KVW = ONRVWOVW
słowo:STANISLAW, klucz: TSLU = MMMICLXVQ
słowo:CZASOPISMO, klucz: JRS = MRTCGISKFY
słowo:SAMOCHOD, klucz: ZMLYP = SNYNSHBP
słowo:MARIUSZ, klucz: RGL = EHDABER
słowo:EUGENIUSZ, klucz: FDIB = KYPGTMDUF
słowo:ALGORYTM, klucz: MWR = NIYBOQGJ
słowo:ZBIGNIEW, klucz: EOHKUU = EQQRIDJL
słowo:PARASOLKA, klucz: KCEO = ADWPDRQZL
słowo:KATARZYNA, klucz: FZELB = QAYMTFYSM
słowo:RYSZARD, klucz: YKQUB = QJJUCQO
słowo:ANASTAZJA, klucz: NBOPIW = OPPICXNLP
słowo:ALEKSANDRA, klucz: WXA = XJFHQBKBSX
słowo:GENERATOR, klucz: DCLQAR = KHZVSSXRD
słowo:CALKOWANIE, klucz: PEBQYD = SFNBNAQSKV
słowo:MATYLDA, klucz: ZOK = MPEYAOA
słowo:KRYSTYNA, klucz: BEMWHH = MWLPBGPF
słowo:SKOMPLIKOWANY, klucz: SCA = LNPFSMBNPPDOR
słowo:NATURALNY, klucz: MOVXPB = APPSHCYCU
słowo:PROCESOR, klucz: DCYJ = TUNMIVNB
słowo:HERMETYCZNY, klucz: HAZA = PFRNMUYDHOY
słowo:ADMINISTRATOR, klucz: VGAC = WKNLJPTWNHURN
słowo:WYPROWADZENIE, klucz: TEITP = QDYLEQFMTUHNN
słowo:MONOKRYSZTAL, klucz: TJUR = GYIGEBTKTDVD
słowo:POLPRZEWODNIK, klucz: FSOBKC = VHARCCKPDFYLQ
słowo:TRANZYSTOR, klucz: CAPUL = WSQILBTJJD
słowo:PODSTAWOWY, klucz: DOHR = TDLKXPEGAN
słowo:ARCHITEKTURA, klucz: FHFZF = GZIHOZMQTAXI
słowo:PARAMETR, klucz: OYRSOB = EZJTBGIQ
słowo:POJEDYNCZY, klucz: HUPNFT = XJZSJSVXPM
słowo:FUNKCJONALNY, klucz: UBZY = AWNJXLOMVNNX
słowo:PRZEZNACZENIE, klucz: GNDX = WFDCGBEAGSRGL
słowo:ARYTMETYCZNY, klucz: YSK = ZKJSFPSRNYGJ
słowo:USPRAWNIENIE, klucz: DLFP = YEVHEITYIZOU
słowo:KOMPUTERY, klucz: TWMLEU = ELZBZOYOL
słowo:KOSZTOWNE, klucz: RDX = CSQRXMORC
słowo:WIELORDZENIOWA, klucz: VBACX = SKFOMNFAHLEQXD
słowo:WPROWADZONY, klucz: QAR = NQJFXSUAGEZ
słowo:SIERPIEN, klucz: DSQG = WBVYTBVU
słowo:TECHNOLOGICZNY, klucz: YAACZ = SFDKNNMPJIBAOB
słowo:NAJWIEKSZY, klucz: MEE = AFOJNJXXEL
słowo:ZAPREZENTOWAC, klucz: DTRAMG = DUHSRGIHLPJHG
słowo:JEDNOSTKA, klucz: TMHUA = DRLIPMGSV
słowo:OPERACYJNY, klucz: ZITAET = OYYSFWYSHZ
słowo:DODAWANIE, klucz: JVUBR = NKYCOKJDG
słowo:ODEJMOWANIE, klucz: QWQ = FAVAJFNXEZB
słowo:ROZNICZKOWANIE, klucz: JFURQT = BUUFZWJQJORHSK
słowo:LABORATORIUM, klucz: USEA = GTGPMTYPMBZN
słowo:TECHNOLOGIA, klucz: OVVYE = IAYGSDHKFNP
słowo:PIERWOWZOREM, klucz: DRDCT = TAIUQSODRLIE
słowo:USZCZELNIENIE, klucz: LVWZZA = GOWCZFXJFENJQ
słowo:POWIERZCHNIA, klucz: FALUO = VPIDTXAOCCOB
słowo:STANOWISKU, klucz: JVIBE = CPJPTGEBMZ
słowo:NAUCZYCIELE, klucz: VGZV = JHUYVFCEASE
słowo:OBROTOWYCH, klucz: ZFK = OHCOZZWENH
słowo:PRZETRZYMYWANIE, klucz: ZMO = PEOEGGZLBYJPNVT
słowo:BAGATELIZOWANA, klucz: HICNAO = JJJOUTTRCCXPVJ
słowo:STOSUNKOWO, klucz: PLA = IFPIGOAAXE
słowo:MINIMALNEMU, klucz: ZWDR = MFRAMXPFEJY
słowo:EKOLOGICZNE, klucz: VGU = ARJHVBEJUJL
słowo:DYNAMICZNE, klucz: OJPHN = SIDIAXMPVS
słowo:ALUMINIUM, klucz: HDLO = IPGBQRUJU
słowo:WYPOLEROWANA, klucz: ASDIA = XRTXMFKSFBOT
słowo:RAMIONACH, klucz: TMOL = LNBUIAPOB
słowo:NAJPOPULARNIEJSZY, klucz: YOABC = MPKRROJMCUMXFLVYN
słowo:PROWADZENIE, klucz: ZKG = PCVWLKZPUIP
słowo:ODPOWIEDNIA, klucz: RBYBAT = GFOQXCWFMKB
słowo:CYLINDER, klucz: QWX = TVJZKBVO
słowo:DYSKIETKA, klucz: IXDRCN = MWWCLSCIE
słowo:MAGNETODYNAMICZNY, klucz: GOCLDQ = TPJZIKVSBZEDPRCZC
słowo:KILKADZIESIAT, klucz: TUBM = EDNXUYBVYNKNN
słowo:MILISEKUNDA, klucz: JMN = WVZSFSUHBNN
słowo:INFORMACJA, klucz: PKZF = YYFUHXAIZL
słowo:KONTROLUJE, klucz: SSTGJZ = DHHABOENDL
słowo:ELEKTRONIKA, klucz: OPGWBI = TBLHVADDPHC
słowo:PROMIENIOWO, klucz: GRJFRZ = WJYSAEUAYCG
słowo:ZINTEGROWANA, klucz: DBYDP = DKMXUKTNAQRC
słowo:PRZYGOTOWUJE, klucz: LDKJJG = BVKIQVFSHETL
słowo:OGLOSZENIE, klucz: DAGXY = SHSMRDFUGD
słowo:GIMNAZJUM, klucz: VFIKM = COVYNVPDX
słowo:WSPOLCZESNY, klucz: IAUZVN = FTKOHQIFNNU
słowo:HUMANISTYCZNY, klucz: PVZAAY = XQMBOHIPYDAMO
słowo:ZAINTERESOWANIAMI, klucz: IQXD = IRGRCVPIBFUEWZYQR
słowo:MATEMATYCZNE, klucz: LRWROW = YSQWBXFQZRCB
słowo:ODCZYT, klucz: OHBDFY = DLEDES
słowo:SONDA, klucz: NJQWE = GYEAF
słowo:WYRAZ, klucz: LFTNZ = IELOZ
słowo:LITERA, klucz: JAQTBV = VJKYTW
słowo:NOS, klucz: ZVX = NKQ
słowo:BYK, klucz: MYE = OXP
słowo:OSA, klucz: LSW = ALX
słowo:OWOC, klucz: KTSO = ZQHR
słowo:KURA, klucz: CXWY = NSOZ
słowo:LIS, klucz: AUV = MDO
