słowo:QGM, klucz: FRS = KOT
słowo:ITKK, klucz: SKFR = PIES
słowo:ULJ, klucz: RWQ = COS
słowo:QEG, klucz: CVD = NIC
słowo:ZFXG, klucz: LKDF = NUTA
słowo:XAX, klucz: VFD = BUT
słowo:HWJE, klucz: VBTD = LUPA
słowo:EMKD, klucz: ERUC = ZUPA
słowo:MACPJ, klucz: BDTOP = KWIAT
słowo:DOW, klucz: AJK = CEL
słowo:AVDKAHAUFAC, klucz: PGPNV = KONWERTEREM
słowo:QPUBRYGIINPHZP, klucz: QOT = ZAAKCEPTOWANIA
słowo:OXBSAEAJDMN, klucz: DIP = KOLOROWANIE
słowo:ANHSPZYQF, klucz: KECAS = PIERWOTNE
słowo:IIDXYAWQD, klucz: XWCEZ = KLASYCZNY
słowo:BSGYNOHBZ, klucz: IYR = STOPOWYCH
słowo:JTUSTUZOAGHK, klucz: TFPXG = PNEUMATYCZNE
słowo:BNQIXNINJOGU, klucz: LYMPDM = PODSTAWOWYCH
słowo:EWPYBHDJWM, klucz: MHPI = ROZPOZNAJE
słowo:FYHVNPPOSWZ, klucz: PJENYL = POCHODZENIA
słowo:ZYKMOBLWSACV, klucz: CZRMTQ = WYSZUKIWANIE
słowo:BLCQEDLSZMHB, klucz: LTC = PRZEKAZYWANY
słowo:NBLWNMRXQ, klucz: XJL = PRZYDATNE
słowo:OQTVAWTFQVNL, klucz: NVZG = AUTOMATYCZNE
słowo:KWWTLLOTTTBXINR, klucz: UEW = PRZYGOTOWYWANIU
słowo:JOAYOAOQLU, klucz: TWA = PRZERZUTKA
słowo:CJEAJEYVBLINP, klucz: KUE = ROZPOZNAWANIE
słowo:DIVUIHAL, klucz: NQG = PROGRAMU
słowo:RTLDKRSVFX, klucz: RSVU = ZAPISYWANE
słowo:EYPZVPGYVDOSE, klucz: AJZYC = DOPASOWYWANIE
słowo:QMKJRBSFBRJ, klucz: YHAE = REJESTRACJI
słowo:TBXBBREUIJL, klucz: ZGF = TURBULENCJE
słowo:GYHZFFJSE, klucz: VJDKIE = KODOWANIA
słowo:INQCJJATZJSH, klucz: IEC = ZINTEGROWANE
słowo:AQLCERHBCEDKRZUMU, klucz: MPB = NAJPOPULARNIEJSZE
słowo:YKAMMTGHLTC, klucz: LFXE = MECHANICZNE
słowo:TYYMYZXIXULJ, klucz: LZUUXE = HYDRAULICZNE
słowo:SBKEGXTEJY, klucz: CJKZ = PRZEDNIEGO
